name,milk,crust,origin,pairings,similarities,visual,smell,taste,touch
Pyramide fermière,Chèvre,Molle à croûte naturelle,Bourgogne - Franche-Comté,Les vins blancs pas trop secs constituent les accompagnements par excellence d’une raclette fermière. Ces boissons permettent d’alléger le gras du fromage.,"['Gouda Fermier Vieux 12-18 Mois', 'Raclette de Savoie artisanale IGP', 'St-Nectaire Fermier AOP', 'Gouda au Cumin Fermier']", coeur gris-marron foncé, odeur de lait et de foin, fond sous la langue, souple et croûte friable
Raclette,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,Accompagnez votre raclette de Savoie Fermière du Chignin Bergeron blanc de Savoie à table. Les arômes fruités et la trame acidulée de ce vin blanc se marieront parfaitement avec le goût franc du fromage.,"['Tomme Ail des Ours', 'Tomme de Yenne', 'Raclette Fumée', 'Tomme d’Auvergne Mitée']", Pâte homogène à la fonte. Croûte jaune à orangée,," Un goût généreux et équilibré, et pas trop salé.",
Raclette de Savoie artisanale IGP,Vache,Pressée non cuite,Auvergne_Rhône-Alpes,"La Raclette au foin s’accompagne très bien d’un vin blanc de Savoie tel qu’une Mondeuse.,  ","['Cheddar Extra-Mature', 'Saint Marcellin fermier IGP', 'Morbier AOP 100jours', 'Salers AOP']",Le moisi à la chaleur est  très vite compensé par les herbes infusées, Notes lactées légèrement salines, fruité et fleuri, légèrement collant et souple
Raclette au foin,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,"Le Reblochon se marie parfaitement avec des vins blancs frais et fruités de Savoie (Apremont, Roussette de Savoie, Chignin-Bergeron…), mais aussi de vins rouges légers et fruités comme le Beaujolais. Il est apprécié toute l’année, mais tout particulièrement en été et en automne.","['Morbier AOP 100jours', 'Tête de Moine entière', 'Tomme de Brebis des Pyrénées', 'Gouda Fermier Vieux 12-18 Mois']"," Croûte jaune, recouverte d’une fine ” mousse ” blanche, pâte jaune ivoire."," Légère odeur de cave, assez prononcée quand le fromage est “bien fait”."," Saveur velouté, avec un arrière goût de noisette.", Consistance onctueuse et très souple.
Reblochon,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,La Rigotte de Vache s’accompagne d’un Vin blanc ou d’un rosé type Crépy ou Seyssel.,"['Rocamadour AOP Fermier', 'Bleu d’Auvergne Fermier AOP', 'Crottin de Chavignol AOP', 'Mothais sur feuille fermier']", Croûte à fleur bleue ou blanche, Noisette, Saveur aigre quand elle est fraiche, Pâte ferme
Rigotte de vache,Vache,"Molle à croûte naturelle, non pressée et non cuite",Occitanie,"Suivant les goûts, on peut l’apprécier crémeux ou sec avec des arômes plus puissants., Les vins de la région de Cahors s’accordent parfaitement, ou un vin blanc sec toujours du Sud-Ouest, tel qu’un gaillac.","['Crottin de Chavignol AOP', 'Bouton de Culotte fermier', 'Mothais sur feuille fermier', 'Calisson cendré de chèvre']"," peau striée, veloutée et solidaire. Pâte de couleur blanche, crème−ivoire et beige foncé", odeur caprine, saveur de chèvre avec une texture fondante et moelleuse, pâte souple
Rocamadour,Chèvre,Molle à croûte naturelle,Occitanie ,"Le Roquefort peut se consommer en fin de repas ou en sauce. Il s’associe très bien avecdes viandes rouges, ou avec des pâtes. Pour l’accompagner, préférez un vin blanc doux de la même région comme le Barsac ou un vin rouge tel que le Banyuls.","['Tomme de Brebis des Pyrénées', 'Bethmale', 'Calisson cendré de chèvre', 'Rocamadour AOP Fermier']", Croûte saine et régulièrement veinurée, Odeur soutenue, Saveur ovine prononcée, Pâte souple
Roquefort,Brebis,Persillée,Nouvelle Aquitaine ,"Légèrement acidulée et noisetée, la roue cendrée se déguste à merveille avec du vin blanc sec. Pour apprécier ce délicieux fromage de chèvre, vous pouvez l’accompagner avec du Chardonnay, du Sauvignon blanc ou encore du Chenin.","['Sainte-Maure de Touraine AOP', 'Crottin de Chavignol AOP', 'Chabichou du Poitou AOP']",, Odeur caprine., Saveur douce.,
Roue cendrée,Chèvre,Molle à croûte naturelle,Provence-Alpes-Côte d'Azur,A accompagner d’un blanc sec ou éventuellement d’une bière blanche.,"['Valençay AOP fermier', 'Selles-sur-cher AOP fermier', 'Bouton de Culotte fermier', 'Saint Marcellin fermier IGP']", Boule ronde,," Bouquet d’été rafraîchissant, accompagné d’une touche lactique variable selon l’affinage",
Rove fermier,Chèvre,Frais,Provence-Alpes-Côte d'Azur,,"['Mothais sur feuille fermier', 'Calisson cendré de chèvre', 'Valençay AOP fermier', 'Buchette de Chèvre cendrée']",,,,
Rovethym,Chèvre,Molle à croûte fleurie,Belgique ,"Il s’accompagne de bières blanches ou d’un vin blanc, tel qu’un Chablis.","['Saint-Félicien fermier', 'Pont l’Evêque AOP entier', 'Reblochon Fermier AOP entier', 'Neufchâtel AOP']", Croûte orangée, légère senteur de bière, saveur dine et douce, onctueux
Sablé de Wissant,Vache,Molle à croûte lavée,Auvergne_Rhône-Alpes ,"Crémeux en bouche, le Saint Félicien se déguste à la petite cuillère. Grâce à sa douce saveur, il est idéal pour se faire la bouche avant de gouter à l’ensemble des fromages du plateau., Le Saint Félicien réalise un très beau mariage avec les vins de sa région. Il peut s’accompagner d’un vin blanc sec tel qu’un Côtes du Rhône ou un Condrieu. Il peut aussi s’accorder avec du vin rouge comme un Crozes-Hermitage, un Beaujolais ou encore un bon Vacqueyras.","['Saint Marcellin fermier IGP', 'Crottin de Chavignol AOP', 'Chabichou du Poitou AOP']", Croûte naturelle couleur ivoire sur laquelle peut se former un duvet bleuté, odeur de champignons," double crème onctueux. Gout d’étable, doux, frais et lacté. Persistant en bouche.", Moelleux et crémeux
Saint-Félicien,Vache,Molle à croûte fleurie,Ile de France ,Le Saint-Jacques Fermier se déguste avec un verre de vin rouge tel qu’un Bourgueil.,"['Neufchâtel AOP', 'Saint Marcellin fermier IGP', 'Bethmale', 'Brie de Meaux fermier AOP']", croûte fleurie blanche, Teinté de saveurs florales, Délicatement salée avec des arômes de lait et un discret goût de champignon, Texture très crémeuse et souple
Saint-Jacques,Vache,Molle à croûte fleurie,Auvergne_Rhône-Alpes ,"Ce fromage peut tout aussi bien se déguster avec du vin blanc qu’avec du vin rouge., Les vins blancs qui accompagnent le Saint-Marcellin à la perfection sont :, Pour ceux qui affectionnent particulièrement le vin rouge, vous avez le choix entre les :","['Crottin de Chavignol AOP', 'Chabichou du Poitou AOP', 'Saint-Félicien fermier', 'Bouton de Culotte fermier']"," Croûte naturelle couleur ivoire, peut se couvrir de Bleu de la moisissure", odeur de champignons, goût de crème battue mélangée de noisette," Moelleux et crémeux jeune, et devient ferme en s’affinant"
Saint-Marcellin,Vache,Molle à croûte naturelle,Auvergne_Rhône-Alpes,"Le Saint Mont Crémier du Jura se déguste avec un vin rouge, tel qu’un Bourgogne, pinot noir ou côtes d’Auxerre.","['Munster fermier AOP 1/2', 'Gruyère Suisse d’Alpage AOP 12 Mois', 'Brillat-Savarin IGP', 'Camembert de Normandie AOP']", couleur ivoire à jaune pâle, Doux, fruité et légèrement salé aux arômes généreux, texture souple et fondante
Saint Mont Crémier du Jura,Vache,Pressée cuite,Auvergne_Rhône-Alpes ,Ce fromage d’Auvergne se déguste idéalement avec du vin rouge sec :,"['Cheddar Extra-Mature', 'Reblochon Fermier AOP entier', 'Salers AOP', 'Tête de Moine entière']","  Croûte fine ouverte de fleurs blanches, jaunes ou rouges ; pâte fine",  Légère odeur de champignon, Saveur de noisette caractéristique, Pâte souple et onctueuse qui fléchit sous le doigt
Saint-Nectaire,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,Ce fromage d’Auvergne se déguste idéalement avec du vin rouge sec :,"['Cheddar Extra-Mature', 'Reblochon Fermier AOP entier', 'Salers AOP', 'Tête de Moine entière']","  Croûte fine ouverte de fleurs blanches, jaunes ou rouges ; pâte fine",  Légère odeur de champignon, Saveur de noisette caractéristique, Pâte souple et onctueuse qui fléchit sous le doigt
Saint-Paulin,Vache,Pressée non cuite,Centre-Val de Loire ,"Le Sainte-Maure de Touraine se déguste avant ou en fin de repas, et mieux encore en apéritif. Comme pour tous les fromages de chèvre, le vin devra opposer l’acidité affutée du fromage surtout si celui-ci est bien affiné. Entre son acidité et sa texture crémeuse, le Sainte-Maure de Touraine s’accompagne de vins blancs vifs comme un Touraine-Sauvignon. Pour les amateurs de rouge, un vin léger et fruité comme un Gamay, un Bourgueil, un Chinon ou un Cabernet d’Anjou, sera parfait.","['Saint-Félicien fermier', 'Rocamadour AOP Fermier', 'Valençay AOP fermier', 'Saint Marcellin fermier IGP']", Croûte bien fine et régulière avec moisissures superficielles gris−bleutées., Odeur légèrement caprine, Saveur douce et au goût de noisette selon les saisons, Pâte ferme et homogène
Sainte-Maure de Touraine,Chèvre,Molle à croûte naturelle,Auvergne_Rhône-Alpes ,"Les vins légers à l’instar des vins blancs secs viendront ajouter une note de douceur à la saveur corsée du Salers. Vous pourrez ainsi déguster ce fromage avec du :, Si vous avez un Salers jeune, vous pouvez opter pour du vin rouge :","['Tête de Moine entière', 'Tomme de Tarentaise fermière', 'Gouda au Cumin Fermier', 'Gouda Fermier Vieux 12-18 Mois']"," Croûte dorée, tendant vers le brun"," Jeune, notes de beurre et de crème", délicats arômes fleuris voir épicés, Texture ferme et fondante
Salers,Vache,Pressée non cuite,Bourgogne - Franche-Comté ,Le Satonnay Pétales de roses s’accompagne d’un Vin blanc sec tel qu’un Mâcon-Vinzelles.,"['Vacherin – Mont d’Or AOP (Boite d’environ 500g)', 'Sainte-Maure de Touraine AOP', 'Valençay AOP fermier', 'Calisson cendré de chèvre']", Crémeux," Odeur caprine agrémentée, de foin et de rose. "," rafraichissant et un peu acidulé, goût de noix fraîches. Les pétales de rose qui l’englobent, apportent de la texture et une légère amertume. ", Pâte ferme et tendre à la fois 
Satonnay Pétales Roses,Chèvre,Pâte molle à croûte naturelle,Centre-Val de Loire ,"Le Saulzais s’accompagne très bien d’un Vin sec, Côtes de Duras.","['Calisson cendré de chèvre', 'Chabichou du Poitou AOP', 'Mothais sur feuille fermier', 'Sainte-Maure de Touraine AOP']"," Croûte blanche, coupe lisse", Noisette," Doux, saveur acidulée et prononcée", Structure crailleuse
Saulzais,Brebis,Pâte molle à croûte naturelle,Nouvelle Aquitaine ,"Le Sauvaget se déguste avec un vin blanc, tel qu’un Jurançon blanc sec.","['Selles-sur-cher AOP fermier', 'Bleu de Chèvre', 'Pouligny-Saint-Pierre AOP fermier', 'Calisson cendré de chèvre']", croûte naturellement légèrement crémeuse, Odeur de sous-bois., Saveur noiseté., Texture fondante et crémeuse.
Sauvaget,Chèvre,Pâte molle à croûte naturelle,Auvergne_Rhône-Alpes ,"Si vous avez l’habitude de déguster le Séchon au bout d’un pique à l’apéritif, sachez qu’il est exquis accompagné d’une bière noire. Il est aussi en parfait accord avec du vin rouge puissant.","['Saint-Félicien fermier', 'Crottin de Chavignol AOP', 'Bouton de Culotte fermier', 'Saint Marcellin fermier IGP']", Croûte brune, Odeur prononcée , goût affirmé, Pâte dur et cassante
Séchon de Vache,Vache,Pâte molle à croûte naturelle,Centre-Val de Loire ,"Le Selles−sur−Cher est avant tout un fromage de fin de repas qui s’accompagne de vins de son terroir : un vin blanc sec, Touraine blanc, ou un rouge léger et fruité, Chinon, Bourgueil., Présenté en tranches fines, il peut aussi être servi à l’apéritif., Il ne faut surtout pas gratter la croûte : c’est elle qui donne au fromage son caractère particulier. Très décoratif, il apporte une note fraîche dans un buffet de fromages.","['Sainte-Maure de Touraine AOP', 'Pouligny-Saint-Pierre AOP fermier', 'Bouton de Culotte fermier', 'Crottin de Chavignol AOP']"," Forme bien nette, croûte bleu foncé, pâte d’un blanc pur", Odeur légèrement caprine," Saveur douce et noisetée, pâte fondante", Pâte ferme et très fine
Selles-sur-Cher,Chèvre,Molle à croûte fleurie,Royaume-Uni,Le Shropshire blue se déguste avec un vin blanc liquoreux tel que le Sauternes ou le Montbazillac.,"['Reblochon Fermier AOP entier', 'Beaufort chalet alpage AOP', 'Blue Stilton AOP', 'Bethmale']"," Pâte blanche couleur crème, avec de la “moisissure” de manière uniforme dans tout le fromage.", Odeur puissante., une forte saveur. Arôme légèrement piquant avec une petite acidité., Légèrement crémeux.
Shropshire blue,Vache,Persillée,Pays de la Loire,,"['Mimolette', 'Saint Marcellin fermier IGP', 'Cheddar Extra-Mature', 'Gouda au Cumin Fermier']",,,,
Sillon bleu de Vache,Vache,Persillée,Auvergne_Rhône-Alpes,Le Skieur s’accompagne d’un vin blanc de Savoie comme la Roussette.,"['Gruyère Suisse d’Alpage AOP 12 Mois', 'Morbier AOP 100jours', 'Parmesan DOP', 'Etivaz AOP']"," Croûte grise, légèrement duveté"," Notes alpines, de fruits secs et de noix",, Texture riche et légèrement élastique
Skieur,Vache,Pressée cuite,Bourgogne - Franche-Comté ,"Le soumaintrain est idéalement un fromage de plateau de fin de repas à accompagner avec un bon verre de vin de Côte de Beaune, de Chablis, de Beaujolais ou encore de Chardonnay.","['Morbier AOP 100jours', 'Camembert de Normandie AOP', 'Saint Marcellin fermier IGP', 'Raclette Fumée']", Couleur orangé, Odeur forte," Gout assez prononcé, avec une légère amertume et doux en bouche.",  Texture moelleuse et crémeuse
Soumaintrain,Vache,Molle à croûte lavée,Occitanie ,,"['Tomme de Brebis des Pyrénées', 'Buchette de Chèvre cendrée', 'Saint Marcellin fermier IGP', 'Mothais sur feuille fermier']", Aspect cire coulé sur la croûte,"  Cave Humide, Champignons"," Fromage goûteux et long en bouche, caractérisé par les arômes du lait cru de brebis associés à une pâte souple et fondante en bouche."," Sa croûte est très fleurie, de couleur grise avec quelques taches jaunes et blanches; sa pâte est très blanche, dense et homogène."
Souréliette,Brebis,Pressée non cuite,Royaume-Uni ,"Le Stilton se consomme en fin des repas ou en cuisine. Il se déguste avec un porto, un sauternes ou un muscat.","['Fourme d’Ambert AOP', 'Munster fermier AOP 1/2', 'Bleu de Gex AOP', 'Bleu d’Auvergne Fermier AOP']"," Pâte blanche couleur crème, avec de la “moisissure” de manière uniforme dans tout le fromage.", Odeur pénétrante et agréable," Plus doux que le roquefort, il reste avec beaucoup de caractère. Saveur légèrement piquante, mais fondante en bouche.", Texture friable et souple
Stilton bleu,Vache,Persillée,Italie ,"Le Taleggio s’accompagne d’un chianti Classico, un Montbazillac, un Condrieu, un Vin Blanc sec du Languedoc ou un Rosé de Provence.","['Maroilles fermier AOP 1/2', 'Munster fermier AOP 1/2', 'Bergues au torchon fermier', 'Herve à la Bière']"," Croûte mince, rosé, avec 4 Lobes dessinés sur le dessus et une pâte ivoire, crémeuse",  Odeur franche après quelques jours d’affinages," Saveur douce à forte, selon l’affinage, légèrement acidulée avec un arrière-goût de truffe", Pâte tendre
Taleggio,Vache,Molle à croûte lavée,Nouvelle Aquitaine ,La Taupinière se déguste accompagné de vins blancs tel qu’un Puilly fumé ou un Pineau.,"['Bouton de Culotte fermier', 'Selles-sur-cher AOP fermier', 'Bleu de Chèvre', 'Crottin de Chavignol AOP']", Dôme de couleur gris-bleutée. Croûte fine., Odeur caprine., Douceur en bouche. Arômes délicats de noisette et de sous-bois, Pâte ferme et souple
Taupinière,Chèvre,Pâte molle à croûte naturelle,Suisse ,"La Tête de Moine se marie parfaitement à un vin blanc puissant, tel qu’un vin du Jura, ou tel qu’une Altesse du Bugey (Savoie).","['Cantal AOP Entre-Deux fermier', 'Herve à la Bière', 'Pont l’Evêque AOP entier', 'St-Nectaire Fermier AOP']"," croûte naturelle, de couleur brune. Pâte couleur ivoire à jaune clair", fruité, Parfumé, ferme avec une croûte légèrement “collante”
tête de Moine,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,"Traditionnellement, la Tome des Bauges se consomme avec une tranche de pain de campagne. Mais vous romprez la monotonie en égayant le tout de noisettes, de pruneaux, de pommes reinettes, de fenouil, de tomates, d’endives., Il s’accompagne très bien d’un verre de vin blanc sec léger d’Alsace, comme par exemple un Pinot Blanc du Domaine du moulin de Dusenbach, ou avec un vin rouge fruité, rond, tel qu’un Bordeaux, un Bregerac ou un Chinon.","['Tomme de Yenne', 'Cantal AOP Entre-Deux fermier', 'Tomme d’Auvergne Mitée', 'Tomme Ail des Ours']"," croûte tourmentée, grise, sur laquelle peuvent se développer des fleurs de couleur jaune, rouge, rose ou blanche. Pâte ivoire à jaune.", odeur de cave légère, arômes fruités et variés, pâte souple et fondante
Tome des Bauges AOP,Vache,Pressée non cuite,Bourgogne - Franche-Comté ,"Ce chèvre s’accompagne parfaitement avec un vin blanc tel qu’un Pouilly-Fuissé, un Pouilly-Loché ou un Pouilly-Vinzelles.","['Crottin de Chavignol AOP', 'Tomme du Jura', 'Pouligny-Saint-Pierre AOP fermier', 'Bleu de Gex AOP']"," croûte grise et pâte entre blanche et jaune, selon la durée de son affinage", Arôme de champignons," goût de chèvre prononcé, délicatement fruité, avec une saveur de noisette", Structure ferme et légèrement onctueux
Tome du Cruzille,Chèvre,Pressée non cuite,Occitanie,"A accompagner d’un vin blanc tendre comme un Tarani, ou un Gaillac doux, tel que du Domaine Labarthe.","['St-Nectaire Fermier AOP', 'Gouda au Cumin Fermier', 'Tomme du Jura', 'Reblochon Fermier AOP entier']",,,,
Tome du Ségala,Vache,Pressée non cuite,Grand Est ,La Tome le Saulnois aux cônes de houblon s’accompagne d’une bière du Nord ou d’un vin blanc doux du Sud-Ouest.,"['Reblochon Fermier AOP entier', 'Tomme de Brebis des Pyrénées', 'Morbier AOP 100jours', 'Saint Marcellin fermier IGP']", croûte marron clair avec une pâte onctueuse jaune clair., Odeur de pâturage, Légères notes de noisette sur un fond de houblon, Texture souple  et croûte granuleuse
Tome le Saulnois aux cones de Houblon,Vache,Pressée non cuite,Nouvelle Aquitaine ,La tomette de Brebis Etchegoinia se sert avec un vin blanc type Pacherinc-de-Vic-Bilh sec.,"['Tomme de Yenne', 'Tomme fermière au Foin', 'Tomme de Tarentaise fermière', 'Tomme de Brebis des Pyrénées']"," Croûte épaisse, allant du marron au gris.", Légère saveur de noisette., puissance de la Brebis., La pâte est souple et la croûte très ferme.
Tomette de brebis Etchegoinia,Brebis,Pressée non cuite,Auvergne_Rhône-Alpes ,"Associez cette tomme à un vin blanc sec, comme un côtes du Jura.","['Tome des Bauges AOP', 'Tomme de Yenne', 'Tomme de Tarentaise fermière', 'Tomme d’Auvergne Mitée']", Couleur pâte jaune avec une grande présence de la plante ail des ours hachée, aromatique et très odorante, Légèrement salé et épicé, ferme et souple
Tomme Ail des ours,Vache,Pâte pressée non cuite,Auvergne_Rhône-Alpes ,"Accompagner votre Tomme au Chniu d’un vin blanc type Entre-Deux-Mers, ou un vin rouge, type Pinot Noir.","['Gouda Fermier Vieux 12-18 Mois', 'Cheddar Extra-Mature', 'Salers AOP', 'Tomme de Yenne']", Croûte grise duveté, Arômes légèrement anisés, Gout délicat, Texture souple
Tomme au chniu,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,"La Tomme au foin doit se déguster avec un vin rouge, type Valençay.","['Camembert de Normandie AOP', 'Tome des Bauges AOP', 'Saint-Félicien fermier', 'Mimolette']", Croûte de couleur jaune-marron, Odeur de foin fraîchement coupé," Puissance de la pâte, lié à l’affinage"," Texture souple, avec une croûte légèrement humide"
Tomme au foin,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,"La Tomme brossée à la bière s’accompagne d’une bière Savoyarde bien-sûr, ou un vin rouge de Savoie tel qu’un Jongieux ou un Beaujolais Rouge.","['Saint Marcellin fermier IGP', 'Tomme de Tarentaise fermière', 'Cantal AOP Entre-Deux fermier', 'Mimolette']"," croûte marron, avec une pâte onctueuse jaune clair.", Odeur de terre, Gout de Houblon et persistant en bouche., Texture souple  et croûte légèrement granuleuse
Tomme brossée à la bière,Vache,Pressée non cuite,Espagne ,Chignin rouge,"['Saint-Félicien fermier', 'Reblochon Fermier AOP entier', 'Cantal AOP Entre-Deux fermier', 'Tomme de Tarentaise fermière']"," Pâte souple, aérée", Arômes fruités, Fruité et léger, Pâte onctueuse
Tomme Catalane,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,"Un vin rouge de Savoie ou de Provence, ou une bière blonde, sèche et fruitée","['St-Nectaire Fermier AOP', 'Gouda Fermier Vieux 12-18 Mois', 'Cheddar Extra-Mature', 'Tomme du Jura']", Couleur grise, arômes de nez et d’épices, Franc et marqué, sec
Tomme céronnée,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,La Tomme crayeuse s’accompagne d’un Bergeron blanc.,"['Tomme du Jura', 'Morbier AOP 100jours', 'Gouda Fermier Vieux 12-18 Mois', 'Tomme de Brebis des Pyrénées']"," croûte grise-marron, granuleuse et irrégulière", Odeur de cave et de terre humide, Gout de champignon," Texture contrastée avec un coeur crayeux, acide et friable, et une sous-croûte souple, crémeuse et douces"
Tomme crayeuse fermière,Vache,Pressée non cuite,,Cette tomme se mariera parfaitement avec un vin rouge des coteaux de la Loire type Touraine AOC,"['Tomme de Yenne', 'Gouda Fermier Vieux 12-18 Mois', 'Raclette de Savoie artisanale IGP', 'Tomme fermière au Foin']"," Couleur pâte jaune avec quelques yeux, croûte moisie naturelle de couleur grise", Léger et senteur de crème, saveur de chèvre avec une texture fondante et moelleuse," Moelleuse, crémeuse"
Tomme d’Anjou,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,La Tomme d’Auvergne Mitée se savoure avec le Pouilly et la Sancerre. L’équilibre entre ces vins blancs et ce fromage offre apparemment une expérience sensationnelle en bouche. Vous ne serez donc pas déçu de miser sur ces bouteilles lors de vos apéritifs accompagnés de Tomme de Rilhac.,"['Tomme fermière au Foin', 'Tomme de Tarentaise fermière', 'Tome des Bauges AOP', 'Tomme de Yenne', 'St-Nectaire Fermier AOP']"," Croûte avec un aspect rocailleux, faisant apparaitre du céron (poussière naturelle qui se développent car le fromage n’est pas brossé).",," Fruité, onctueux et légèrement salé.",
Tomme d’Auvergne Mitée,Vache,Pressée non cuite,Centre-Val de Loire,"La Tomme de Berry s’accompagne d’un côtes de Provence, qu’il soit Rosé, rouge ou blanc.","['Tête de Moine entière', 'Camembert de Normandie AOP', 'Salers AOP', 'Tomme de Tarentaise fermière']", Pâte jaune-orangée, boisé, Notes délicatement beurrées, légèrement sec
Tomme de Berry,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,Cette tomme de brebis se sert avec un vin blanc sec tel qu’un Chardonnay.,"['Mimolette', 'Saint Marcellin fermier IGP', 'Tomme du Jura', 'Raclette de Savoie artisanale IGP']"," Croûte fine, de couleur gris marroné", Odeur de pâturage, Douce et onctueuse en bouche, Texture souple
Tomme de Brebis Affinée Tunnel,Brebis,Pressée non cuite,Nouvelle Aquitaine ,Côtes d’Auvergne rouge,"['Tête de Moine entière', 'Gouda Fermier Vieux 12-18 Mois', 'Tome des Bauges AOP', 'Bethmale']", Croûte marron clair à marron foncé selon son affinage., Odeur de paille.," Pâte fondante, souple et onctueux en bouche. Typé et fruité", Ferme
Tomme de Brebis à la liqueur de noix,Brebis,Pressée non cuite,Nouvelle Aquitaine ,"Servez la tomme de Brebis au Piment avec un vin blanc sec tel qu’un Pacherenc-du-vic-bilh ou un vin blanc de Bourgogne, qui sont des vins blancs à caractère.","['Tomme d’Auvergne Mitée', 'Gouda au Cumin Fermier', 'Mothais sur feuille fermier', 'Cantal AOP Entre-Deux fermier']", Croûte rouge intense dû au piment., Odeur d’herbes sèche ou de paille., Pâte fondante et homogène. Légère saveur végétale relevée par le piment. , Ferme et onctueux.
Tomme de Brebis au Piment,Brebis,Pressée non cuite,Italie ,"Cette tomme de Brebis au Poivre se déguste avec un Pinot Grigio blanc, de Vénétie, ou un bourgogne blanc. ","['Etivaz AOP', 'Beaufort chalet alpage AOP', 'Gorgonzola Cremoso AOP (à la cuillière)', 'Gruyère Suisse d’Alpage AOP 12 Mois']"," Couleur très claire, entre le blanc et le jaune.", ., Saveur poivrée et délicate. ," Pâte dure, de structure granuleuse."
Tomme de Brebis au Poivre,Brebis,Pressée cuite,,"Cette tomme de brebis s’accompagne d’un vin blanc sec du Sud-Ouest., <span style=""text-decoration: underline;""><strong>Proposition de Recette : </strong></span>, Galette de polenta à la Tomme de brebis de l’Ardèche.","['Bethmale', 'Tomme d’Auvergne Mitée', 'Tête de Moine entière', 'Tomme de Yenne']", Croûte orangée-marron, Odeur de pâturage, Saveur subtile, souple et tendre
Tomme de Brebis de l’Ardèche,Brebis,Pressée non cuite,Nouvelle Aquitaine ,"Il est toujours conseillé d’accorder le fromage avec un vin produit dans la même région. Ici, la Tomme de brebis se marie parfaitement avec les appellations d’origine néo-aquitaines. De plus, il est intéressant de choisir selon la maturité du fromage qui va déterminer le goût., Dans l’idéal, pour un fromage vieux, prenez un vin blanc et sec tels un Pessac-Léognan, un Béarn-Belloc ou un Entre-Deux-Mers. Un rouge comme un Bordeaux est conseillé dans le cas d’un fromage jeune.","['Tomme de Yenne', 'Tomme du Jura', 'Tomme Ail des Ours', 'Tomme d’Auvergne Mitée', 'Bethmale']", Croûte grise,, Arômes de paille," Pâte sèche, croûte ferme"
Tomme de Brebis des Pyrénées,Brebis,Pressée non cuite,Nouvelle Aquitaine ,"Il se sert avec un vin blanc sec du Sud-Ouest, pour l’Ossau de Plaine, type Jurançon, ou vin rouge (type Madiran) pour l’Ossau d’estive.","['Gouda au Cumin Fermier', 'Bethmale', 'Tête de Moine entière', 'Cheddar Extra-Mature']"," Croûte épaisse, allant du Jaune orangé au gris cendré.", L’odeur est animale.," Son goût va de la douceur à une dureté raffinée, selon la durée d’affinage, mais reste tendre et rond.", La pâte est souple et ferme à la fois.
Tomme de Brebis du Béarn,Brebis,Pressée non cuite,Pays de la Loire ,Cette tomme doit absolument s’accompagner d’un verre de Muscadet blanc.,"['Munster fermier AOP 1/2', 'Buchette de Chèvre cendrée', 'Bleu de Chèvre', 'Bouton de Culotte fermier']",Pâte jaune et croûte orange, odeur légèrement caprine, doux en bouche avec un léger goût caprin, pâte souple et aérée
Tomme de chèvre affinée au Muscadet,Chèvre,Molle à croûte lavée,Nouvelle Aquitaine ,"Cette tomme se mariera parfaitement avec un vin rouge fruité, type Moulis Rouge, ou un côte du frontonnais.","['Pouligny-Saint-Pierre AOP fermier', 'Raclette Fumée', 'Calisson cendré de chèvre', 'Bleu de Chèvre']", Couleur jaune, Arôme caprins et lactés légers, Fondante en bouche, Structure moelleuse
Tomme de chèvre des Pyrénées,Chèvre,Pressée non cuite,Auvergne_Rhône-Alpes ,La Tomme de Chèvre de Savoie s’accompagne d’un vin blanc de Savoie comme la Roussette de Savoie AOC.,"['Valençay AOP fermier', 'Tome des Bauges AOP', 'Bleu de Chèvre', 'Rocamadour AOP Fermier']", croûte céronnée et, Noix et épices," Fort goût de lait de chèvre, fruité, légèrement noiseté", Moelleuse
Tomme de chèvre de Savoie,Chèvre,Pressée non cuite,Centre-Val de Loire ,"Accompagnez cette tomme d’un vin blanc sec, tel qu’un Sancerre blanc.","['Bleu de Chèvre', 'Sainte-Maure de Touraine AOP', 'Calisson cendré de chèvre', 'Selles-sur-cher AOP fermier']", Couleur jaune pâle, Arôme caprins," gout intense de chèvre, fruité sur des saveurs de noisette", moelleux
Tomme de chèvre grise,Chèvre,Pressée non cuite,Auvergne_Rhône-Alpes ,La Tomme de Montagne s’accompagne d’un vin blanc tel qu’un chignon Bergeron blanc de Savoie.,"['Tomme de Tarentaise fermière', 'Tomme de Brebis des Pyrénées', 'Salers AOP', 'Tome des Bauges AOP']"," Pâte jaune pâle, percée de quelques trous. Croûte duveteuse grise et blanche", Nez frais et lactique, Gout lactique prononcé, Pâte souple
